"id","state","dlsubrecip_2006","dlsubdisburse_2006","dlsubrecip_2008","dlsubdisburse_2008","dlsubrecip_2009","dlsubdisburse_2009","dlsubrecip_2010","dlsubdisburse_2010","dlsubrecip_2011","dlsubdisburse_2011","dlsubrecip_2012","dlsubdisburse_2012","dlsubrecip_2013","dlsubdisburse_2013","dlsubrecip_2014","dlsubdisburse_2014","dlsubrecip_2015","dlsubdisburse_2015","dlsubrecip_2007","dlsubdisburse_2007","dlunsubrecip_2006","dlunsubdisburse_2006","dlunsubrecip_2008","dlunsubdisburse_2008","dlunsubrecip_2009","dlunsubdisburse_2009","dlunsubrecip_2010","dlunsubdisburse_2010","dlunsubgradrecip_2010","dlunsubrecip_2011","dlunsubdisburse_2011","dlunsubgradrecip_2011","dlunsubrecip_2012","dlunsubdisburse_2012","dlunsubgradrecip_2012","dlunsubrecip_2013","dlunsubdisburse_2013","dlunsubgradrecip_2013","dlunsubrecip_2014","dlunsubdisburse_2014","dlunsubgradrecip_2014","dlunsubrecip_2015","dlunsubdisburse_2015","dlunsubgradrecip_2015","dlunsubrecip_2007","dlunsubdisburse_2007","flparentrecip_2006","flparentdisburse_2006","flparentrecip_2008","flparentdisburse_2008","flparentrecip_2009","flparentdisburse_2009","flparentrecip_2007","flparentdisburse_2007","flgradrecip_2006","flgraddisburse_2006","flgradrecip_2008","flgraddisburse_2008","flgradrecip_2009","flgraddisburse_2009","flgradrecip_2007","flgraddisburse_2007","fedloanperc_2014","fedloanperc_2013","fedloanperc_2012","fedloanperc_2011","fedloanperc_2010","fedloanperc_2008","fedloanperc_2007","fedloanperc_2006","flsubrecip_2006","flsubdisburse_2006","flsubrecip_2008","flsubdisburse_2008","flsubrecip_2009","flsubdisburse_2009","flsubrecip_2007","flsubdisburse_2007","flunsubrecip_2006","flunsubdisburse_2006","flunsubrecip_2008","flunsubdisburse_2008","flunsubrecip_2009","flunsubdisburse_2009","flunsubrecip_2007","flunsubdisburse_2007","dlgradrecip_2006","dlgraddisburse_2006","dlgradrecip_2008","dlgraddisburse_2008","dlgradrecip_2009","dlgraddisburse_2009","dlgradrecip_2010","dlgraddisburse_2010","dlgradrecip_2011","dlgraddisburse_2011","dlgradrecip_2012","dlgraddisburse_2012","dlgradrecip_2013","dlgraddisburse_2013","dlgradrecip_2014","dlgraddisburse_2014","dlgradrecip_2015","dlgraddisburse_2015","dlgradrecip_2007","dlgraddisburse_2007","dlparentrecip_2006","dlparentdisburse_2006","dlparentrecip_2008","dlparentdisburse_2008","dlparentrecip_2009","dlparentdisburse_2009","dlparentrecip_2010","dlparentdisburse_2010","dlparentrecip_2011","dlparentdisburse_2011","dlparentrecip_2012","dlparentdisburse_2012","dlparentrecip_2013","dlparentdisburse_2013","dlparentrecip_2014","dlparentdisburse_2014","dlparentrecip_2015","dlparentdisburse_2015","dlparentrecip_2007","dlparentdisburse_2007","perkrecip_2006","perkrecip_2007","perkrecip_2008","perkrecip_2009","perkrecip_2010","perkrecip_2011","perkrecip_2012","perkrecip_2013","perkrecip_2014","cdr3_2014","cdr3_2013","cdr3_2012","cdr3_2011","cdr3_2010","cdr3_2009","cdr3_2008","cdr3_2007","cdr3_2006","perkdisburse_2006","perkdisburse_2007","perkdisburse_2008","perkdisburse_2009","perkdisburse_2010","perkdisburse_2011","perkdisburse_2012","perkdisburse_2013","perkdisburse_2014","avefedloan_2014","avefedloan_2013","avefedloan_2012","avefedloan_2011","avefedloan_2010","avefedloan_2008","avefedloan_2007","avefedloan_2006","aveotherloan_2014","aveotherloan_2013","aveotherloan_2012","aveotherloan_2011","aveotherloan_2010","aveotherloan_2008","aveotherloan_2007","aveotherloan_2006","otherloanperc_2014","otherloanperc_2013","otherloanperc_2012","otherloanperc_2011","otherloanperc_2010","otherloanperc_2008","otherloanperc_2007","otherloanperc_2006"
"41","RI",12041,46607069,13135,57564671,17116,70414382,47196,180960914,47992,183102173,41521,156939748,37273,146061258,37167,146635458,35449,139521053,12815,57191751,5571,26004050,11420,50606028,16865,68111256,44099,174781333,2763,44785,179438215,2828,43514,199537434,2988,39936,185521440,2930,40466,189271675,3129,39607,185149702,3199,5650,33464716,5694,78894512,5372,76094283,5390,77510911,5292,76099825,497,10926411,613,15585316,653,16669727,594,14465908,0.602606238828346,0.631314484791639,0.628433605788557,0.628970607618294,0.602391629297459,0.602606238828346,0.602606238828346,0.602606238828346,24899,87205368,26095,105230625,26210,105975469,25023,100282376,16388,64208419,26453,111193775,28308,117950121,16576,69421626,32,385567,107,1808035,186,2727433,910,21973992,912,22320486,959,21346652,878,19311212,818,17414092,907,18832217,69,1247837,1882,29706770,2430,40517041,4012,64580458,10003,149842466,9530,147189145,7248,120411531,7033,120978608,7495,130109104,8054,136894460,1673,27455396,10101,9788,0,0,9036,9231,9267,9328,NA,0.0688695652173913,0.0688695652173913,0.0688695652173913,0.0688695652173913,0.0688695652173913,0.0688695652173913,0.0688695652173913,0.0688695652173913,NA,21785278,20095437,0,0,15748412,16470197,17446452,18118239,NA,3074.49899094736,3726.46904730001,3708.23361918799,3606.45162778437,3351.55657373107,3074.49899094736,3074.49899094736,3074.49899094736,1321.86853485556,1403.31682969315,1214.8986332574,1067.31705548965,1076.19405992071,1321.86853485556,1321.86853485556,1321.86853485556,0.0942166868477195,0.085287417928447,0.077247755594265,0.112824568340583,0.0712939494378371,0.0942166868477195,0.0942166868477195,0.0942166868477195
"42","SC",10616,39926134,12071,49937551,19717,80616536,121033,458299273,128029,481437108,108290,386630630,103312,372575526,97340,354351925,91496,335975159,10921,44989555,7768,31671055,12541,57980422,19054,97885004,109070,525187040,10637,115972,556492646,10617,116492,654408790,12043,112598,652208990,12015,108732,622382842,11802,104704,608294854,12355,7842,33988315,6210,61436589,5616,57863073,6584,73992914,5911,61511002,949,10593866,1917,32175855,1865,29886430,1356,18609584,0.439420499071974,0.509421702404159,0.516545848239503,0.531997384155456,0.522873852839871,0.439420499071974,0.439420499071974,0.439420499071974,67361,253012963,78570,321987643,87371,351669957,71370,296361754,54053,262750239,75595,395477502,86220,437055308,55603,291602863,13,56417,39,236389,606,12732547,2903,52422107,3057,59477272,3067,62000327,3157,64027122,3106,61026867,3458,67780018,22,110302,2966,35029833,2600,32570916,3918,46426767,14087,160167830,14374,179222676,10405,148462034,11305,167453292,12437,187183975,16073,229974759,2866,35924389,6248,5312,0,0,3323,3942,4290,4488,NA,0.15061,0.15061,0.15061,0.15061,0.15061,0.15061,0.15061,0.15061,NA,15243008,12682796,0,0,7429417,8555089,9348632,10860125,NA,2392.94547844916,3106.23011575578,3330.65959800414,3302.21914704783,3208.39224207679,2392.94547844916,2392.94547844916,2392.94547844916,678.253428541967,519.487666353813,441.97698173602,429.874813153961,300.376985136041,678.253428541967,678.253428541967,678.253428541967,0.0824138997731491,0.0460857218492046,0.0443654678968179,0.0424374065769806,0.03210892531034,0.0824138997731491,0.0824138997731491,0.0824138997731491
"43","SD",100,298184,99,328246,5372,15062566,40929,148471745,42408,151981065,36339,129823841,34423,123817853,30163,110402300,27015,99301364,85,339902,56,158684,87,268160,4334,18429221,38058,189343685,2374,39510,175518943,2340,40284,201164843,2876,39076,206011852,3012,34491,179110295,2856,31852,163847339,2828,30,77018,2756,17230734,2022,11802656,2086,12781415,2539,16030019,179,2444376,226,3562702,227,3398153,190,2819832,0.696597118728266,0.686081065018424,0.69295242592374,0.732520998462085,0.724056603773585,0.696597118728266,0.696597118728266,0.696597118728266,26514,94019193,29144,115918872,31810,120128741,26854,105972826,21646,85648604,30149,135235999,32514,141981264,21616,92104575,0,0,0,0,27,562883,330,5177402,361,5865766,395,6778525,421,7710094,380,7216723,413,7383427,0,0,37,122197,30,91410,152,779983,2909,18442776,2933,19647897,2546,18208100,2565,19406094,2554,20148028,2937,25092405,36,135582,5571,4789,0,0,3838,3670,3716,3983,NA,0.108076923076923,0.108076923076923,0.108076923076923,0.108076923076923,0.108076923076923,0.108076923076923,0.108076923076923,0.108076923076923,NA,9009939,7713389,0,0,5676978,5358224,5560147,6941622,NA,3904.77521112767,4005.96838226554,4105.25463345532,4226.28191174731,4051.19395777179,3904.77521112767,3904.77521112767,3904.77521112767,621.026204669647,944.012124093665,820.34694841223,669.537205725778,578.309299191375,621.026204669647,621.026204669647,621.026204669647,0.0960009935419772,0.114584571496494,0.10305749026089,0.0912102212232344,0.0835579514824798,0.0960009935419772,0.0960009935419772,0.0960009935419772
"44","TN",15459,57449486,19708,78629782,66533,261798018,173543,684581656,176474,698789964,134210,495163190,126004,469485518,118403,445308428,109595,414574153,15766,64032893,12080,51400796,18109,85309929,62830,318219181,147689,816069503,22961,150183,841632300,23450,153712,1073610237,26984,146481,1059680959,26313,139920,1018844999,25471,133438,985419046,25629,12041,54013729,11612,116355658,9563,98575905,7040,77723167,11010,112311254,2200,39327069,3488,63933922,3533,65164166,2817,48599322,0.386719055744275,0.413120744062448,0.438956504553764,0.426460608304029,0.421193349501797,0.386719055744275,0.386719055744275,0.386719055744275,100845,393475795,115614,515163641,91239,406222741,106562,461114433,78999,390676841,108185,649454553,86769,518343011,84150,464370285,103,708215,333,3027607,1697,22518517,5896,104666446,6503,125505636,6810,139092459,7471,160679943,7603,166328137,8226,183472905,209,1381514,933,5485407,920,6236931,5034,33873177,13915,132697698,13112,139028449,9692,116971478,10213,128712589,11031,144050531,14290,181632331,903,5417526,11166,9332,0,0,5974,6135,6797,7462,NA,0.133629370629371,0.133629370629371,0.133629370629371,0.133629370629371,0.133629370629371,0.133629370629371,0.133629370629371,0.133629370629371,NA,29753850,22052522,0,0,14473073,17083955,19069908,20271386,NA,2276.98033844179,2518.42486297957,2683.29524531036,2465.76371151829,2473.0435525816,2276.98033844179,2276.98033844179,2276.98033844179,151.11865812996,195.760372031224,158.512063769166,112.128616817817,130.63156356836,151.11865812996,151.11865812996,151.11865812996,0.0256883893489457,0.0218236173393124,0.0209324923005978,0.0144055771484977,0.0230400607778395,0.0256883893489457,0.0256883893489457,0.0256883893489457
"45","TX",23623,85436737,68048,275190842,187651,719716839,547067,2150496090,556739,2257617634,450030,1616289598,435309,1585471228,417154,1517434267,397283,1458972258,24107,97316647,15909,78050031,59684,314576891,177058,872801808,472110,2455505241,66379,479901,2475019642,67966,482519,3021281296,78731,473519,3023362086,79571,450733,2897764203,79196,440380,2818355322,79387,17700,90650167,34646,371936352,26839,287747451,22144,242224505,31731,337751065,4470,53079064,6605,92621161,6335,91244918,5890,75596535,0.465182877296892,0.456273423266088,0.459150856252992,0.477270231951996,0.465410444401264,0.465182877296892,0.465182877296892,0.465182877296892,339245,1330384806,341372,1460120506,306721,1279189026,349721,1486040867,265751,1324760973,305867,1709994666,282046,1527332465,268663,1416439115,43,432968,486,5057366,3294,32753354,11226,164815628,11063,172223420,10470,168535067,10999,189458572,11286,194265353,12198,200412352,40,473972,2422,17633487,5027,41889261,16488,127522755,48856,477996675,49104,511815710,36935,429251307,40204,478482298,42705,512682961,53711,619278417,2761,22914317,19727,20154,0,0,7457,10526,10885,11678,NA,0.152768421052632,0.152768421052632,0.152768421052632,0.152768421052632,0.152768421052632,0.152768421052632,0.152768421052632,0.152768421052632,NA,52689182,53061266,0,0,18259524,30072507,31336622,35706154,NA,2703.84510699119,2834.5097185904,2745.65879491036,2842.81459116014,2876.50566105695,2703.84510699119,2703.84510699119,2703.84510699119,397.371590009357,370.364907345347,368.418255768403,369.967863740733,355.754174111269,397.371590009357,397.371590009357,397.371590009357,0.0647088461815303,0.0596520376471477,0.0578025177368418,0.0627640429056296,0.0726719525314806,0.0647088461815303,0.0647088461815303,0.0647088461815303
"46","UT",114,279222,236,786692,20188,65959247,87777,416812026,99863,449387665,96298,351714138,90730,323163895,90739,318344793,88918,312899147,126,352938,85,297245,206,934736,19309,87999553,77045,408172867,8213,87555,458908226,9807,91872,539764858,13826,88250,486489477,14651,92559,507675651,15826,96690,537984371,17997,105,342081,1843,17346881,1490,14775665,1410,14142761,1614,14963163,307,2350942,428,4566236,652,8028067,331,3320622,0.331642383095583,0.334332047488858,0.341546064242852,0.35292515153579,0.335718584899351,0.331642383095583,0.331642383095583,0.331642383095583,58313,216633969,71879,301881152,76787,317338776,60118,246946917,35227,147818467,53227,287185646,55225,302292966,38833,170769041,0,0,0,0,22,113313,950,11301712,995,12940466,998,12596816,1040,15612282,1121,17747275,1230,19905504,0,0,1,1859,1,14318,461,2881980,1910,17592004,1619,17077183,1217,14223437,1146,15237928,1355,16742729,1658,19159654,4,14235,5109,3600,0,0,3382,3529,3927,4245,NA,0.147578125,0.147578125,0.147578125,0.147578125,0.147578125,0.147578125,0.147578125,0.147578125,NA,13169840,9268542,0,0,8101707,7955098,9466519,9818608,NA,1818.01201464643,2163.90296243586,1753.45827744441,1897.82459306681,1830.29254998997,1818.01201464643,1818.01201464643,1818.01201464643,108.79399649096,299.255084079248,202.237274973526,121.947592453858,139.386611382331,108.79399649096,108.79399649096,108.79399649096,0.0161339537722176,0.0627317328938991,0.0287680903635722,0.0152216849417694,0.0176887581087407,0.0161339537722176,0.0161339537722176,0.0161339537722176
"47","VA",36151,157057600,47451,211450627,85017,352791264,257119,952433423,280212,1031277605,186266,701139534,184819,707789866,182347,698002551,172473,663077827,37716,175436271,28784,172510324,50652,287884296,89537,455352126,215291,1171939928,39091,232302,1264633221,44294,240084,1645292836,50981,237907,1672035828,51341,237391,1648309319,51521,226768,1585470268,49721,30156,192324149,15450,174462103,13371,152088594,11367,130118276,14418,165040093,2892,43411942,4370,77023319,4889,90217326,3711,61065517,0.447919697410532,0.450525266785699,0.464623243933589,0.468898590217724,0.458639345181365,0.447919697410532,0.447919697410532,0.447919697410532,90215,365860364,112192,501398451,112977,517260709,100661,445622517,75603,374232787,113347,641773016,115140,672259379,83813,454262453,476,5217921,1445,19104436,2735,38862366,8943,157023030,9361,175617066,9806,186380978,9468,190318169,9731,190426682,9898,202212036,1017,12632854,4979,51569129,5040,53178561,9975,109551892,25348,296666925,25264,315852589,21684,289180584,21448,303266310,22675,330849236,26277,376990721,4719,48914926,10666,10892,0,0,7364,7234,7107,7808,NA,0.108809523809524,0.108809523809524,0.108809523809524,0.108809523809524,0.108809523809524,0.108809523809524,0.108809523809524,0.108809523809524,NA,26200360,24205830,0,0,15684144,17441976,17609038,19682719,NA,2627.1557515804,2770.90489833769,2871.38842060451,2870.13541695632,2712.61532208331,2627.1557515804,2627.1557515804,2627.1557515804,504.431295791785,598.657891458705,527.329062012204,413.514083919584,420.641727869036,504.431295791785,504.431295791785,504.431295791785,0.0741926098341577,0.0509072789934809,0.0490279551582234,0.0368017128715624,0.0427342041823177,0.0741926098341577,0.0741926098341577,0.0741926098341577
"48","VT",6,26485,17,78068,1906,8510207,27582,105696981,27518,106497663,18233,70969479,17124,67012130,16139,63979931,15338,60871081,5,14113,10,44003,16,47657,1468,9544924,23180,113839765,4261,23098,113675997,4276,22772,140211469,4411,21692,136255296,4122,20867,131559334,3973,20275,130805272,3929,3,3375,6321,80436113,5515,76218232,6001,86952056,5763,77427924,914,18339498,956,19741110,1283,22252844,868,17000836,0.616120770993395,0.580204778156997,0.622267206477733,0.649456886147244,0.644583823337253,0.616120770993395,0.616120770993395,0.616120770993395,19491,77473192,20014,88644672,21170,94508283,19485,84447504,12815,67233943,20558,102952372,22028,108644723,12804,71465666,0,0,0,0,300,6620411,1524,31333834,1436,29532185,1398,29974388,1343,27519546,1433,29147926,1474,29742314,0,0,0,0,5,46943,137,1379458,6141,90652124,5872,93799108,4945,83607325,4381,77969893,4070,75351085,3677,68953413,1,15968,5872,5111,0,0,3845,4086,4186,4282,NA,0.0793076923076923,0.0793076923076923,0.0793076923076923,0.0793076923076923,0.0793076923076923,0.0793076923076923,0.0793076923076923,0.0793076923076923,NA,9491382,7865119,0,0,6351353,6507579,7070736,7514286,NA,3280.15527699151,3462.30771331058,3694.82132253711,3750.19149792142,3727.3895204495,3280.15527699151,3280.15527699151,3280.15527699151,1064.18910904435,1626.87399317406,1189.88717948718,1201.46466407402,867.901215209722,1064.18910904435,1064.18910904435,1064.18910904435,0.14678528103518,0.121092150170648,0.106882591093117,0.111573018640204,0.0874166993335947,0.14678528103518,0.14678528103518,0.14678528103518
"49","WA",30346,136814107,34655,169037370,56337,247955525,127932,518709544,129448,528996440,105222,385055083,104359,383959194,93846,347119034,87260,321295200,30521,145672503,23070,131557070,32732,203065694,52920,295982091,111158,603749179,15340,112860,608863949,15140,112338,711918877,15758,112453,727772158,16007,103938,690257449,15868,99684,660203009,15753,23581,145450800,8173,90745180,6534,75195630,6107,69225165,7224,82767301,881,10061455,1316,16509045,1245,15216019,1197,14605431,0.400231000231,0.422730006013229,0.435277816917947,0.453292032512751,0.44913117234423,0.400231000231,0.400231000231,0.400231000231,55940,210866230,61917,258226967,60332,245783272,57227,234822746,44414,204288901,58717,315556090,58530,307983647,44804,221956593,1022,11869192,2238,34413163,3632,61498321,5478,91664444,5721,102961562,5716,106178723,5940,113177432,6285,118142563,6788,121344699,1591,20517299,6619,67630617,6109,62287332,7662,85100402,14981,179798199,15113,196134347,13916,195815862,13830,206029061,13671,211167492,14082,214804257,6092,62646171,15699,12919,0,0,13331,14842,15164,15209,NA,0.118678899082569,0.118678899082569,0.118678899082569,0.118678899082569,0.118678899082569,0.118678899082569,0.118678899082569,0.118678899082569,NA,36767416,27742598,0,0,20479786,20366273,23491162,28468003,NA,2321.14726264726,2540.28169665572,2599.06730543422,2727.41586510469,2733.77761221402,2321.14726264726,2321.14726264726,2321.14726264726,345.819750519751,359.88523983533,333.738903762153,301.37755315928,289.352528540645,345.819750519751,345.819750519751,345.819750519751,0.0501732501732502,0.0362643970581433,0.0364003569583392,0.0374502177609055,0.0354408326073999,0.0501732501732502,0.0501732501732502,0.0501732501732502
"50","WI",20521,82214524,24706,107235774,42608,174300975,182967,713107810,180283,721745215,156872,572755902,149888,545506109,139851,511801254,127122,465346212,20666,90575892,14601,70195806,24752,123040594,40759,192615489,165182,765875468,15497,162838,751117325,15105,160660,853944681,16942,155963,842951707,17308,150096,822613266,17187,140964,772662272,16792,14686,76923859,9357,80607015,7982,68900000,8284,71764260,8704,76243198,537,5031078,1214,10154664,1530,14040362,679,6674892,0.565557692307692,0.596666947226664,0.606942634311839,0.614138827928148,0.621255118560137,0.565557692307692,0.565557692307692,0.565557692307692,100981,362167376,113014,456414454,124807,482038373,106836,425082311,75948,334168248,106375,522753602,117984,553506897,80435,380287762,713,10126961,909,17766716,1134,21502388,2585,39789234,2482,41580233,2532,44753218,2532,47055245,2542,48116777,2644,49869064,796,12525542,3123,33592544,3224,33957997,4355,47311561,14245,142509914,13955,147991619,12037,136417154,12181,141689503,11988,142426111,12508,147937581,2735,30401721,22516,20328,0,0,18417,18514,19956,20886,NA,0.110771428571429,0.110771428571429,0.110771428571429,0.110771428571429,0.110771428571429,0.110771428571429,0.110771428571429,0.110771428571429,NA,52303620,43116402,0,0,29178413,30071677,37552069,41185022,NA,2986.19984615385,3375.54742866762,3424.0123709634,3394.91002194587,3451.17661175126,2986.19984615385,2986.19984615385,2986.19984615385,477.149269230769,704.931382038549,654.751691181034,580.765301146062,501.058870583754,477.149269230769,477.149269230769,477.149269230769,0.0589615384615385,0.0770137193838902,0.0741844059661971,0.0652076729253028,0.0614227216455576,0.0589615384615385,0.0589615384615385,0.0589615384615385
"51","WV",26145,100496707,28485,118744329,47844,192658239,82762,286824137,92630,313037187,66246,215331168,64177,212736023,56715,193568180,50873,179142279,26834,113585063,20257,95238104,28948,143012429,50045,253701325,71796,343474997,10443,80328,385933445,11800,80316,451665086,14056,78231,459725137,13276,71804,438137099,12870,66724,431667398,12354,20759,102308847,1257,9981706,966,7670893,912,7679005,1143,9365576,384,9062587,716,19577664,558,10419485,535,13953971,0.525435965789181,0.56384451544196,0.567630718105821,0.579678131902808,0.571385496758631,0.525435965789181,0.525435965789181,0.525435965789181,19822,68977863,24759,103594654,19369,69726326,21753,87215083,16534,75293098,24274,149738384,19271,98397392,18401,95375446,369,3589227,556,6497657,1351,24449728,1461,23593221,1812,38336958,1866,34530807,1918,38132180,2046,42521315,2323,47081604,423,4523719,4615,47698842,5086,56572512,5877,65947670,7437,81935446,7438,86694986,5944,75458685,6187,82665670,6247,86445180,7306,97727370,4718,52596884,6064,5355,0,0,4198,2598,3452,4415,NA,0.157654545454545,0.157654545454545,0.157654545454545,0.157654545454545,0.157654545454545,0.157654545454545,0.157654545454545,0.157654545454545,NA,13176279,9770761,0,0,8176070,4369684,6333406,9013467,NA,2829.70332111518,3471.23727369542,3402.37530505218,3387.86862311981,3342.41122669481,2829.70332111518,2829.70332111518,2829.70332111518,132.487448628235,476.476517571885,474.825068799003,370.359471968024,294.269460776923,132.487448628235,132.487448628235,132.487448628235,0.0183272242585805,0.0481895633652822,0.0469390934108728,0.039812769538235,0.0353284084627368,0.0183272242585805,0.0183272242585805,0.0183272242585805
"52","WY",111,285662,164,420736,2686,7387214,12983,42956664,11943,43919473,10404,33676976,8667,28056539,7182,23191544,6156,20489023,148,407233,102,323714,148,398260,2234,6872303,12237,47907065,620,11224,48153292,577,10396,49106290,668,9395,43983924,638,7945,38504642,623,7122,36342502,625,106,283502,2537,35105158,1989,30237111,1785,25012421,2174,36405046,36,252628,57,621968,88,1107393,47,404306,0.399805919456574,0.422898101511042,0.417470525187567,0.438924930491196,0.466825450833617,0.399805919456574,0.399805919456574,0.399805919456574,10553,33494475,10683,36274667,11065,36594601,10917,39135289,7443,27251540,10517,43386742,11117,46351223,8205,33222568,0,0,0,0,5,48716,139,1540356,171,1995452,145,1674683,142,1786510,143,1834771,158,2437846,0,0,11,42624,14,138324,484,6647571,2225,27964766,1754,26133604,1036,15281287,856,13473885,840,13000661,756,10475695,13,57473,2458,2549,0,0,1166,827,1059,974,NA,0.162454545454545,0.162454545454545,0.162454545454545,0.162454545454545,0.162454545454545,0.162454545454545,0.162454545454545,0.162454545454545,NA,4434774,3664758,0,0,2591151,2458883,3611696,3169368,NA,2397.65469836649,2466.20399070128,2422.73615576992,2938.7343836886,2881.278666213,2397.65469836649,2397.65469836649,2397.65469836649,1803.27122755944,2534.13250678032,3827.18524473026,2046.24189063948,3222.41561755699,1803.27122755944,1803.27122755944,1803.27122755944,0.111596312469675,0.12979465323518,0.173633440514469,0.116218721037998,0.142565498468867,0.111596312469675,0.111596312469675,0.111596312469675
